user_utterance,bot_response,source
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,original
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,original
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,original
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,original
it sounds like it will be.,i really hope it doesn't get cold.,original
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",original
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.",original
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,original
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,original
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",original
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,original
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,original
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,original
the weather this weekend is supposed to be warm.,will it be good beach weather?,original
will it be good beach weather?,i think it will be.,original
i think it will be.,it wouldn't be good if it got cold this weekend.,original
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",original
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.",original
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,original
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,original
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,original
"hello, may i speak to alice please?",this is she. how's it going?,original
this is she. how's it going?,i've been trying to call you all day.,original
i've been trying to call you all day.,sorry about that. i was cleaning up.,original
sorry about that. i was cleaning up.,it's okay.,original
it's okay.,so what were you calling me about?,original
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",original
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",original
"sure, what did you want to do?",maybe we can go see a movie or something.,original
maybe we can go see a movie or something.,that sounds like fun. let's do it.,original
that sounds like fun. let's do it.,i'll see you tomorrow then.,original
i'll see you tomorrow then.,see you then. goodbye.,original
"hi, how are you. is alice there?",speaking. what's up?,original
speaking. what's up?,why haven't you answered the phone?,original
why haven't you answered the phone?,"my bad, i had chores to do.",original
"my bad, i had chores to do.",that's all right.,original
that's all right.,what was the reason for your call?,original
what was the reason for your call?,i want to do something tomorrow with you.,original
i want to do something tomorrow with you.,sounds good. what did you have in mind?,original
sounds good. what did you have in mind?,i was thinking about seeing a movie.,original
i was thinking about seeing a movie.,"okay, let's go see a movie.",original
"okay, let's go see a movie.",until then.,original
until then.,talk to you later.,original
is alice available?,you're talking to her.,original
you're talking to her.,i've called you a hundred times today.,original
i've called you a hundred times today.,i was busy doing something. i apologize.,original
i was busy doing something. i apologize.,no problem.,original
no problem.,did you need something?,original
did you need something?,do you want to do something tomorrow?,original
do you want to do something tomorrow?,is there somewhere special you wanted to go?,original
is there somewhere special you wanted to go?,how about a movie?,original
how about a movie?,a movie sounds good.,original
a movie sounds good.,call me tomorrow then.,original
have you seen the new girl in school?,"no, i haven't.",original
"no, i haven't.",she's really pretty.,original
she's really pretty.,describe her to me.,original
describe her to me.,she's not too tall.,original
she's not too tall.,"well, how tall is she?",original
"well, how tall is she?",she's about five feet even.,original
she's about five feet even.,"what does she look like, though?",original
"what does she look like, though?",she has pretty light brown eyes.,original
she has pretty light brown eyes.,i may know which girl you're talking about.,original
i may know which girl you're talking about.,so you have seen her around?,original
so you have seen her around?,"yes, i have.",original
"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,original
i haven't seen her yet.,i think that she is very pretty.,original
i think that she is very pretty.,tell me how she looks.,original
tell me how she looks.,she's kind of short.,original
she's kind of short.,what height is she?,original
what height is she?,she's probably about five feet.,original
she's probably about five feet.,"that's nice, but tell me what she looks like.",original
"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,original
the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,original
i think i might've bumped into her before.,are you telling me that you've seen her before?,original
are you telling me that you've seen her before?,i believe so.,original
have you met the new girl?,no. have you?,original
no. have you?,she's one of the prettiest girls at the school.,original
she's one of the prettiest girls at the school.,what does she look like?,original
what does she look like?,"well, she's quite short.",original
"well, she's quite short.",how tall would you say that she is?,original
how tall would you say that she is?,i would say she's only five feet.,original
i would say she's only five feet.,what about her facial features?,original
what about her facial features?,"she has light brown eyes, absolutely beautiful.",original
"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.,original
i think i know who you're talking about.,have you seen her?,original
why weren't you at school yesterday?,i wasn't really feeling well.,original
i wasn't really feeling well.,what was wrong with you?,original
what was wrong with you?,my stomach was upset.,original
my stomach was upset.,do you feel better now?,original
do you feel better now?,i don't really feel too well yet.,original
i don't really feel too well yet.,do you want anything to make you feel better?,original
do you want anything to make you feel better?,"no, thanks. i already took some medicine.",original
"no, thanks. i already took some medicine.",i hope you feel better.,original
i hope you feel better.,thank you.,original
what reason do you have for missing school?,i was sick.,original
i was sick.,how were you sick?,original
how were you sick?,i had a stomachache.,original
i had a stomachache.,did it get any better?,original
did it get any better?,i'm still feeling under the weather.,original
i'm still feeling under the weather.,would you like anything for your stomach?,original
would you like anything for your stomach?,i took something earlier.,original
i took something earlier.,get better.,original
get better.,thanks a lot.,original
why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.,original
i stayed home because i wasn't feeling well.,what was your problem?,original
what was your problem?,my stomach was bothering me.,original
my stomach was bothering me.,are you feeling any better?,original
are you feeling any better?,i'm still feeling a little sick.,original
i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?",original
"i'm going to the store, would you like any pepto bismol?",that's okay.,original
that's okay.,i hope you feel better.,original
did you hear the good news?,"no, i haven't.",original
"no, i haven't.",i got a promotion at my job.,original
i got a promotion at my job.,did you really?,original
did you really?,"seriously, i am so excited.",original
"seriously, i am so excited.","well, congratulations.",original
"well, congratulations.",thank you.,original
thank you.,i'm so happy for you.,original
i'm so happy for you.,really?,original
really?,yes. you really deserved this.,original
yes. you really deserved this.,you think so?,original
you think so?,yes. good for you.,original
have you heard my good news?,you haven't told me anything yet.,original
you haven't told me anything yet.,i got a promotion at work earlier this week.,original
i got a promotion at work earlier this week.,is that right?,original
is that right?,it's the truth. i am really happy.,original
it's the truth. i am really happy.,congratulations on your promotion.,original
congratulations on your promotion.,thank you very much.,original
thank you very much.,i am really excited for you.,original
i am really excited for you.,are you really?,original
are you really?,i'm serious. you deserved this promotion.,original
i'm serious. you deserved this promotion.,is that what you really think?,original
is that what you really think?,"yes, i do.",original
"i haven't told you what happened yet, have i?",i haven't heard anything.,original
i haven't heard anything.,"my boss offered me a promotion, and i took it.",original
"my boss offered me a promotion, and i took it.",are you serious?,original
are you serious?,"yes, i am really excited.",original
"yes, i am really excited.",that's great. congratulations.,original
that's great. congratulations.,i appreciate that.,original
i appreciate that.,you have no idea how happy i am for you.,original
you have no idea how happy i am for you.,for real?,original
you look really nice today.,thank you. i just got this outfit the other day.,original
thank you. i just got this outfit the other day.,"really, where did you get it?",original
"really, where did you get it?",i got it from macy's.,original
i got it from macy's.,it's really nice.,original
it's really nice.,"thanks again. you look nice today, too.",original
"thanks again. you look nice today, too.",thank you. i just got these shoes today.,original
thank you. i just got these shoes today.,really? what kind of shoes are they?,original
really? what kind of shoes are they?,these are called all star chuck taylors.,original
these are called all star chuck taylors.,i really like those. how much did they cost?,original
i really like those. how much did they cost?,they were about forty dollars.,original
they were about forty dollars.,i think i'm going to go buy myself a pair.,original
i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.,original
you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?",original
"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.,original
i bought it from the macy's at the santa anita mall.,i really like that outfit.,original
i really like that outfit.,"thanks. i think you look nice today, too.",original
"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.,original
thank you. i just bought these new shoes earlier today.,those are nice. what are they?,original
those are nice. what are they?,these are some chucks.,original
these are some chucks.,those are great. how much were they?,original
those are great. how much were they?,i got them for forty.,original
i got them for forty.,i think i might go and find me my own pair of chucks.,original
i think that you look very cute today.,is that right? this is a brand new outfit.,original
is that right? this is a brand new outfit.,what store did you get it from?,original
what store did you get it from?,i went to macy's and picked it out.,original
i went to macy's and picked it out.,i love your outfit right now.,original
i love your outfit right now.,"well, i think you look nice today too.",original
"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.,original
thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?,original
i think that those are some really nice shoes. what kind are they?,these are chucks.,original
these are chucks.,your shoes look really nice. how much did you get them for?,original
your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.,original
"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.,original
i enjoy drawing and painting.,you know how to draw and paint?,original
you know how to draw and paint?,"yes, i do.",original
"yes, i do.",when did you learn how to do that?,original
when did you learn how to do that?,i learned back in high school.,original
i learned back in high school.,"oh, so you took an art class?",original
"oh, so you took an art class?","yeah, i loved that class.",original
"yeah, i loved that class.",i see that you're pretty talented.,original
i see that you're pretty talented.,thank you very much.,original
thank you very much.,i wish i had a talent like that.,original
i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.,original
what kinds of things do you like to do?,i've always liked to draw and paint.,original
i've always liked to draw and paint.,i didn't know you knew how to draw and paint.,original
i didn't know you knew how to draw and paint.,i do it every once in a while.,original
i do it every once in a while.,how long have you known how to do that?,original
how long have you known how to do that?,i first learned how to do it in high school.,original
i first learned how to do it in high school.,did you take some sort of art class or something?,original
did you take some sort of art class or something?,that was my favorite class.,original
that was my favorite class.,you have got to be talented.,original
you have got to be talented.,thanks.,original
thanks.,if only i was talented.,original
if only i was talented.,you have a talent. you just don't know what it is yet.,original
are there any hobbies you do?,"when i have time, i sometimes draw and paint.",original
"when i have time, i sometimes draw and paint.","oh, you actually do that?",original
"oh, you actually do that?","every so often, i do.",original
"every so often, i do.",did you always know how to draw and paint?,original
did you always know how to draw and paint?,i was taught in high school how to draw and paint.,original
i was taught in high school how to draw and paint.,you had an art class?,original
you had an art class?,"exactly, it was my favorite class.",original
"exactly, it was my favorite class.","well, it's good that you're so talented.",original
"well, it's good that you're so talented.",i appreciate that.,original
i appreciate that.,"talent is a great thing, i wish i had one.",original
what's your favorite movie?,my favorite movie is superbad.,original
my favorite movie is superbad.,"oh, why is that?",original
"oh, why is that?",it's the funniest movie that i've ever seen.,original
it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.,original
that's true. it is a very funny movie.,you've seen it before?,original
you've seen it before?,"yes, i saw that movie the first day it came out in theaters.",original
"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.,original
didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.,original
me too. that movie brought tears to my eyes.,mine too.,original
mine too.,i have it on dvd at my house if you want to come over and watch it.,original
i have it on dvd at my house if you want to come over and watch it.,"sure, let's go.",original
which movie is your favorite to watch?,"i have to say, my favorite movie is superbad.",original
"i have to say, my favorite movie is superbad.",is that right? why?,original
is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time.",original
"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.,original
you're right. that movie is hilarious.,i didn't think you saw that movie.,original
i didn't think you saw that movie.,i went to see it the day it came out.,original
i went to see it the day it came out.,i was laughing through the whole movie.,original
i was laughing through the whole movie.,"i couldn't help laughing, either.",original
"i couldn't help laughing, either.",same here.,original
same here.,i bought the movie. would you like to come to my house and watch it?,original
i bought the movie. would you like to come to my house and watch it?,of course.,original
"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.,original
i'm going to have to say that superbad is the best movie ever.,"you think so, how come?",original
"you think so, how come?","well, superbad is super funny.",original
"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious.",original
"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.,original
i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.,original
i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.,original
i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,original
i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.,original
that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?",original
what type of music do you like to listen to?,i like listening to different kinds of music.,original
i like listening to different kinds of music.,"like what, for instance?",original
"like what, for instance?",i enjoy rock and r&b.,original
i enjoy rock and r&b.,why is that?,original
why is that?,i like the different instruments that they use.,original
i like the different instruments that they use.,that's a good reason to like something.,original
that's a good reason to like something.,"yeah, i think so too.",original
what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.,original
i enjoy listening to all kinds of music.,what kind?,original
what kind?,i like to listen to rock and r&b.,original
i like to listen to rock and r&b.,why do you like that type of music?,original
why do you like that type of music?,i like the kinds of instruments that they use.,original
i like the kinds of instruments that they use.,i think that's an excellent reason to like something.,original
i think that's an excellent reason to like something.,"thanks, i feel the same way.",original
what is your favorite kind of music?,i listen to various types of music.,original
i listen to various types of music.,what genres?,original
what genres?,i enjoy listening to both rock and r&b.,original
i enjoy listening to both rock and r&b.,what interests you in that type of music?,original
what interests you in that type of music?,i enjoy the different types of instruments that they use.,original
i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.,original
did you go to the basketball game on friday?,"no, i couldn't make it.",original
"no, i couldn't make it.",you missed a really good game.,original
you missed a really good game.,"oh, really? who won?",original
"oh, really? who won?",our school did. they played really well.,original
our school did. they played really well.,too bad i was busy. i really wanted to go.,original
too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting.",original
"yeah, you should have. it was really exciting.",so what was the score?,original
so what was the score?,the score was 101-98.,original
the score was 101-98.,"man, that was a really close game.",original
"man, that was a really close game.",that's what made it so great.,original
that's what made it so great.,i'll make sure and make it to the next one.,original
were you able to attend friday night's basketball game?,i was unable to make it.,original
i was unable to make it.,you should have been there. it was intense.,original
you should have been there. it was intense.,is that right. who ended up winning?,original
is that right. who ended up winning?,our team was victorious.,original
our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.,original
i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.,original
it was a great game.,what was the score at the end of the game?,original
what was the score at the end of the game?,our team won 101-98.,original
our team won 101-98.,sounds like it was a close game.,original
sounds like it was a close game.,that's the reason it was such a great game.,original
that's the reason it was such a great game.,"the next game, i will definitely be there.",original
i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't.",original
"i wanted to go, but i couldn't.",it was a great game.,original
it was a great game.,it's too bad that i couldn't make it. who won?,original
it's too bad that i couldn't make it. who won?,our team played hard and won.,original
our team played hard and won.,i really wish i went to the game.,original
i really wish i went to the game.,it was the best game ever.,original
it was the best game ever.,so tell me the final score.,original
so tell me the final score.,"the other team lost by three points, 101-98.",original
"the other team lost by three points, 101-98.",it must've been a close game.,original
it must've been a close game.,it really was. you should've gone.,original
what are you doing this weekend?,i'm going to the movies with a friend. how about you?,original
i'm going to the movies with a friend. how about you?,i'm not sure yet.,original
i'm not sure yet.,"well, did you want to go see a movie with me?",original
"well, did you want to go see a movie with me?",what movie are you going to see?,original
what movie are you going to see?,i'm not sure yet. is there something you want to see?,original
i'm not sure yet. is there something you want to see?,there's nothing i can think of.,original
there's nothing i can think of.,"so, did you want to go?",original
"so, did you want to go?","no, thanks, maybe another time.",original
"no, thanks, maybe another time.","okay, sounds good.",original
do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?,original
i am going to see a movie with a friend of mine. what about you?,i don't know.,original
i don't know.,would you like to see a movie with me and my friend?,original
would you like to see a movie with me and my friend?,do you know what movie you're going to watch?,original
do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?",original
"i don't know, but was there a certain movie you wanted to see?",none that i can think of.,original
none that i can think of.,"well, would you like to go?",original
"well, would you like to go?","thank you for inviting me, but i think i'll pass.",original
"thank you for inviting me, but i think i'll pass.",all right. another time then.,original
you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?,original
i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.,original
i'm not quite sure yet.,how about you see a movie with me and my friend?,original
how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?,original
what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?,original
not sure. is there a movie out that catches your eye?,no good movies come to mind.,original
no good movies come to mind.,have you decided whether or not you would like to go?,original
have you decided whether or not you would like to go?,"no, thanks. maybe another time.",original
did you go to school today?,"yeah, i went to school today. were you there?",original
"yeah, i went to school today. were you there?","no, i didn't go, i've been sick.",original
"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?,original
that sucks. did you want the assignments from english class?,"that would be nice, thank you.",original
"that would be nice, thank you.","no problem, you're welcome.",original
"no problem, you're welcome.",i will be glad to do the same for you when you're sick.,original
i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow.",original
have you attended school today?,i attended school today. did you?,original
i attended school today. did you?,i wasn't able to attend school because i was feeling ill.,original
i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?,original
i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks.",original
"i would really appreciate that, thanks.",it's no trouble at all.,original
it's no trouble at all.,"if you get sick, i'll return the favor.",original
"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.,original
have you gone to school today?,i went to school today. did you go to school?,original
i went to school today. did you go to school?,"i couldn't go to school today, i was sick.",original
"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.,original
that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you.",original
"thank you very much, that's kind of you.",don't mention it.,original
don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments.",original
did you hear the news?,what happened?,original
what happened?,our cousin went into labor and had her baby last week.,original
our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?,original
she did? why didn't anyone tell me?,i would've thought that somebody would have told you.,original
i would've thought that somebody would have told you.,"no, i had no idea.",original
"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces.",original
"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!",original
"oh my god, that's great!",are you going to go and visit her and the baby?,original
are you going to go and visit her and the baby?,i think that i might.,original
i think that i might.,good! i just thought i'd let you know.,original
good! i just thought i'd let you know.,thanks for telling me.,original
have you heard what happened?,heard what?,original
heard what?,debrah already had her baby.,original
debrah already had her baby.,i didn't know that.,original
i didn't know that.,i thought you knew.,original
i thought you knew.,i honestly didn't know.,original
i honestly didn't know.,the baby was 8 pounds 6 ounces.,original
the baby was 8 pounds 6 ounces.,that's good to hear.,original
that's good to hear.,will you go and visit them?,original
will you go and visit them?,of course i will.,original
of course i will.,i just wanted to give you the good news.,original
i just wanted to give you the good news.,thanks for letting me know.,original
have you heard the news?,i haven't heard anything.,original
i haven't heard anything.,debrah had her baby last week.,original
debrah had her baby last week.,nobody told me.,original
nobody told me.,i thought you heard.,original
i thought you heard.,i really wasn't told anything.,original
i really wasn't told anything.,she was a cute 8 pounds 6 ounces.,original
she was a cute 8 pounds 6 ounces.,"wow, how exciting.",original
"wow, how exciting.","i know, you should really go and see her and the baby.",original
"i know, you should really go and see her and the baby.",of course i will.,original
of course i will.,i just wanted to let you know what happened.,original
did you go to school today?,of course. did you?,original
of course. did you?,"i didn't want to, so i didn't.",original
"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?",original
"that's sad, but have you gone to the movies recently?",that's a switch.,original
that's a switch.,"i'm serious, have you?",original
"i'm serious, have you?","no, i haven't. why?",original
"no, i haven't. why?",i really want to go to the movies this weekend.,original
i really want to go to the movies this weekend.,so go then.,original
so go then.,i really don't want to go by myself.,original
i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?",original
"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies.",original
did you make it to school today?,i always do. did you go to school today?,original
i always do. did you go to school today?,"no, i didn't.",original
"no, i didn't.","you should have, but have you seen any movies lately?",original
"you should have, but have you seen any movies lately?",that was an odd change of subject.,original
that was an odd change of subject.,"maybe it was, but answer the question.",original
"maybe it was, but answer the question.","no, not recently.",original
"no, not recently.",i want to go to see a movie this weekend.,original
i want to go to see a movie this weekend.,what's stopping you then?,original
what's stopping you then?,i don't want to go alone.,original
i don't want to go alone.,"so, will you be at school tomorrow?",original
"so, will you be at school tomorrow?","no, i want to go to the movies instead.",original
did you even bother to go to school today?,"yeah, i went. did you go?",original
"yeah, i went. did you go?","no, i didn't feel like it.",original
"no, i didn't feel like it.","that's nice, have you been to the movies lately?",original
"that's nice, have you been to the movies lately?","no, but that was a random change of subject.",original
"no, but that was a random change of subject.","it may have been random, but have you?",original
"it may have been random, but have you?",i haven't lately.,original
i haven't lately.,i would love to catch a movie this weekend.,original
i would love to catch a movie this weekend.,"so then, why don't you just go?",original
"so then, why don't you just go?",i don't want to see a movie by myself.,original
i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?",original
thanks for coming to see me today.,it's no problem. i was really missing you anyway.,original
it's no problem. i was really missing you anyway.,i missed you too.,original
i missed you too.,why haven't you tried to come see me then?,original
why haven't you tried to come see me then?,i've been really busy.,original
i've been really busy.,doing what?,original
doing what?,working.,original
working.,"i would've come to see you sooner, but i've been busy too.",original
"i would've come to see you sooner, but i've been busy too.",what have you been doing?,original
what have you been doing?,i've been working too.,original
i've been working too.,"well regardless, i'm very happy that you came to see me.",original
"well regardless, i'm very happy that you came to see me.",i am too.,original
i'm really glad that you came to see me.,i had to. i was missing you a lot.,original
